Tue, Apr 19, 2022
3:05:10 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
96.0200000	3077.0000000	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0806547	0.1027338	0.2479209	0.2177101	-0.0824139	-0.1048740	-0.2498438	-0.2168684
97.2600000	123.0100021	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0590170	0.0697128	0.0132713	-0.0073851	-0.0605556	-0.0715128	-0.0139086	0.0080803
98.5150000	-2876.0000000	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0861921	0.0961649	-0.2158373	-0.2477545	-0.0878945	-0.0985601	0.2156438	0.2499326
100.0650000	3078.0000000	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0866373	0.1100378	0.2500909	0.2174704	-0.0883878	-0.1121942	-0.2521621	-0.2165867
101.3350000	122.7699966	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0640636	0.0757055	0.0142376	-0.0082936	-0.0656236	-0.0775740	-0.0149114	0.0090288
102.6650000	-2877.0000000	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0925744	0.1036741	-0.2156103	-0.2499041	-0.0943146	-0.1061958	0.2154064	0.2522211
104.2100000	3078.0000000	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0931510	0.1178267	0.2522322	0.2172317	-0.0949145	-0.1200946	-0.2545094	-0.2163109
105.5850000	122.6200027	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0697588	0.0824424	0.0152899	-0.0093155	-0.0713719	-0.0844274	-0.0160351	0.0101108
106.8250000	-2876.0000000	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.0993445	0.1116328	-0.2153444	-0.2521240	-0.1011111	-0.1142571	0.2151425	0.2546116
108.4650000	3077.0000000	0.0003601	0.0003601	0.0003601	0.0003601	-0.0003601	-0.0003601	-0.0003601	-0.0003601	0.1002244	0.1262322	0.2545035	0.2169832	-0.1020052	-0.1286400	-0.2569970	-0.2160345
