Wed, Apr 20, 2022
1:26:05 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
94.7800000	3069.0000000	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.1195061	0.1508145	0.3708422	0.3254491	-0.1193709	-0.1528673	-0.3732568	-0.3248828
95.4250000	122.6699982	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.0846345	0.1005062	0.0197823	-0.0110195	-0.0864243	-0.1026541	-0.0205808	0.0117103
96.6400000	-2874.0000000	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1245533	0.1392164	-0.3233694	-0.3701593	-0.1265401	-0.1419817	0.3230334	0.3732272
98.1850000	3073.0000000	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1249776	0.1594443	0.3738021	0.3252504	-0.1269447	-0.1624898	-0.3765257	-0.3245936
99.4600000	122.6100006	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.0919445	0.1092158	0.0211996	-0.0123393	-0.0938257	-0.1115101	-0.0220235	0.0131042
100.8050000	-2874.0000000	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1339437	0.1502982	-0.3230196	-0.3732417	-0.1359938	-0.1532155	0.3227461	0.3765754
102.3400000	3072.0000000	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1346121	0.1708225	0.3769112	0.3249173	-0.1365678	-0.1741575	-0.3799590	-0.3242107
103.6050000	122.6900024	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1001044	0.1186244	0.0225154	-0.0135353	-0.1019947	-0.1210781	-0.0234508	0.0144728
104.9600000	-2873.0000000	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1438587	0.1619445	-0.3226527	-0.3764016	-0.1459676	-0.1650571	0.3224368	0.3801001
106.5000000	3073.0000000	0.0005400	0.0005400	0.0005400	0.0005400	-0.0005400	-0.0005400	-0.0005400	-0.0005400	0.1448270	0.1828995	0.3802822	0.3245910	-0.1467672	-0.1866021	-0.3837447	-0.3238160
