Fri, Apr 22, 2022
4:17:30 PM

Temperature (K)	B-Field (Gauss)	sample current AB	sample current AD	sample current AC	sample current BD	sample current -AB	sample current -AD	sample current -AC	sample current -BD	Voltage CD	Voltage BC	Voltage BD	Voltage AC	Voltage -CD	Voltage -BC	Voltage -BD	Voltage -AC	
241.2000000	3076.0000000	0.0001619	0.0001663	0.0001628	0.0001454	-0.0001612	-0.0001686	-0.0001616	-0.0001468	0.2098917	0.2613300	0.1555309	0.0690975	-0.2101133	-0.2685215	-0.1576724	-0.0673165
242.7000000	123.4700012	0.0001729	0.0001780	0.0001743	0.0001557	-0.0001727	-0.0001799	-0.0001729	-0.0001568	0.2097249	0.2572120	0.0402974	-0.0344710	-0.2108687	-0.2621667	-0.0424537	0.0354346
244.1000000	-2866.0000000	0.0001606	0.0001659	0.0001622	0.0001451	-0.0001613	-0.0001671	-0.0001611	-0.0001460	0.2092894	0.2538155	-0.0705409	-0.1353768	-0.2114839	-0.2565575	0.0679528	0.1351106
245.9000000	3069.0000000	0.0001613	0.0001653	0.0001626	0.0001451	-0.0001608	-0.0001680	-0.0001610	-0.0001465	0.2096618	0.2601808	0.1452201	0.0593826	-0.2099119	-0.2670412	-0.1461867	-0.0573287
247.4000000	123.3600006	0.0001727	0.0001776	0.0001747	0.0001559	-0.0001732	-0.0001797	-0.0001729	-0.0001571	0.2091081	0.2566426	0.0402788	-0.0353958	-0.2105293	-0.2607284	-0.0420741	0.0351430
248.9000000	-2867.0000000	0.0001622	0.0001675	0.0001647	0.0001471	-0.0001639	-0.0001691	-0.0001631	-0.0001481	0.2084339	0.2541509	-0.0578940	-0.1254218	-0.2111162	-0.2553803	0.0545490	0.1218308
250.6500000	3069.0000000	0.0001651	0.0001685	0.0001672	0.0001489	-0.0001651	-0.0001721	-0.0001649	-0.0001505	0.2085522	0.2578892	0.1315809	0.0459122	-0.2091083	-0.2639614	-0.1301614	-0.0433898
252.1500000	123.4100037	0.0001778	0.0001823	0.0001812	0.0001613	-0.0001796	-0.0001867	-0.0001786	-0.0001627	0.2073549	0.2551287	0.0407897	-0.0369069	-0.2093791	-0.2575811	-0.0412648	0.0345292
253.6000000	-2867.0000000	0.0001695	0.0001748	0.0001738	0.0001549	-0.0001732	-0.0001769	-0.0001713	-0.0001558	0.2062009	0.2535595	-0.0402038	-0.1121065	-0.2099178	-0.2523884	0.0368674	0.1036507
255.4000000	3069.0000000	0.0001758	0.0001783	0.0001796	0.0001592	-0.0001769	-0.0001836	-0.0001761	-0.0001611	0.2054929	0.2535262	0.1139548	0.0283414	-0.2070706	-0.2581684	-0.1088982	-0.0257430
256.9500000	123.4000015	0.0001911	0.0001950	0.0001968	0.0001744	-0.0001948	-0.0001998	-0.0001928	-0.0001759	0.2033093	0.2513655	0.0417629	-0.0388710	-0.2064780	-0.2515537	-0.0395730	0.0332817
258.4000000	-2867.0000000	0.0001850	0.0001904	0.0001925	0.0001705	-0.0001918	-0.0001941	-0.0001886	-0.0001717	0.2013996	0.2501847	-0.0180230	-0.0959824	-0.2058455	-0.2463198	0.0163525	0.0812174
260.2500000	3069.0000000	0.0001959	0.0001973	0.0002029	0.0001784	-0.0001987	-0.0002056	-0.0001972	-0.0001808	0.1990804	0.2458066	0.0931693	0.0075764	-0.2023739	-0.2485420	-0.0836952	-0.0065706
261.7500000	123.3000031	0.0002145	0.0002179	0.0002247	0.0001973	-0.0002215	-0.0002259	-0.0002182	-0.0001993	0.1957779	0.2435585	0.0427499	-0.0405017	-0.2005836	-0.2417000	-0.0366228	0.0311471
263.2000000	-2868.0000000	0.0002110	0.0002165	0.0002238	0.0001963	-0.0002221	-0.0002233	-0.0002173	-0.0001978	0.1929483	0.2417601	0.0054694	-0.0776385	-0.1984831	-0.2363087	-0.0033062	0.0578294
265.0500000	3069.0000000	0.0002268	0.0002271	0.0002396	0.0002081	-0.0002327	-0.0002404	-0.0002306	-0.0002115	0.1885695	0.2337596	0.0718663	-0.0122395	-0.1944567	-0.2346002	-0.0581958	0.0105725
266.5500000	123.4100037	0.0002493	0.0002523	0.0002669	0.0002315	-0.0002611	-0.0002657	-0.0002567	-0.0002342	0.1843763	0.2306397	0.0431614	-0.0408050	-0.1910386	-0.2277226	-0.0326121	0.0283219
268.0000000	-2868.0000000	0.0002482	0.0002541	0.0002692	0.0002331	-0.0002651	-0.0002659	-0.0002589	-0.0002351	0.1808937	0.2275690	0.0260144	-0.0595410	-0.1873675	-0.2224336	-0.0187549	0.0372690
269.8000000	3069.0000000	0.0002691	0.0002687	0.0002911	0.0002491	-0.0002796	-0.0002883	-0.0002768	-0.0002532	0.1746080	0.2177595	0.0530477	-0.0275955	-0.1834627	-0.2172948	-0.0365545	0.0229674
271.3500000	123.3499985	0.0002956	0.0002989	0.0003244	0.0002773	-0.0003137	-0.0003190	-0.0003084	-0.0002804	0.1701861	0.2135827	0.0426833	-0.0393468	-0.1786969	-0.2108710	-0.0283063	0.0253821
272.8000000	-2868.0000000	0.0002965	0.0003036	0.0003301	0.0002818	-0.0003210	-0.0003222	-0.0003138	-0.0002838	0.1665477	0.2092993	0.0410721	-0.0435982	-0.1738368	-0.2060080	-0.0288015	0.0217631
274.6000000	3069.0000000	0.0003221	0.0003220	0.0003582	0.0003017	-0.0003394	-0.0003494	-0.0003363	-0.0003063	0.1593424	0.1997777	0.0383449	-0.0370603	-0.1707236	-0.1986344	-0.0204592	0.0305348
276.1000000	123.1600037	0.0003531	0.0003577	0.0003978	0.0003351	-0.0003791	-0.0003855	-0.0003733	-0.0003379	0.1551707	0.1948415	0.0413885	-0.0364420	-0.1651923	-0.1931494	-0.0244412	0.0228583
277.6000000	-2868.0000000	0.0003562	0.0003654	0.0004068	0.0003423	-0.0003894	-0.0003914	-0.0003816	-0.0003437	0.1518804	0.1900400	0.0502826	-0.0308257	-0.1598494	-0.1891368	-0.0342061	0.0115810
279.4500000	3069.0000000	0.0003862	0.0003881	0.0004419	0.0003671	-0.0004122	-0.0004237	-0.0004093	-0.0003707	0.1443344	0.1819780	0.0276873	-0.0415637	-0.1575694	-0.1806805	-0.0097011	0.0345322
280.9000000	123.1399994	0.0004221	0.0004297	0.0004884	0.0004063	-0.0004578	-0.0004653	-0.0004520	-0.0004073	0.1408420	0.1769011	0.0395071	-0.0326514	-0.1519269	-0.1763210	-0.0213431	0.0208972
282.4000000	-2868.0000000	0.0004280	0.0004409	0.0005011	0.0004166	-0.0004712	-0.0004740	-0.0004632	-0.0004158	0.1383050	0.1721225	0.0548518	-0.0210655	-0.1466498	-0.1732538	-0.0365180	0.0054032
284.2000000	3069.0000000	0.0004632	0.0004691	0.0005442	0.0004467	-0.0004989	-0.0005116	-0.0004961	-0.0004478	0.1310329	0.1658650	0.0201558	-0.0425757	-0.1451970	-0.1646891	-0.0030360	0.0360724
285.7000000	123.0899963	0.0005049	0.0005178	0.0005991	0.0004930	-0.0005514	-0.0005599	-0.0005457	-0.0004904	0.1282363	0.1609210	0.0371943	-0.0289313	-0.1396927	-0.1612405	-0.0189834	0.0193936
287.2000000	-2868.0000000	0.0005143	0.0005333	0.0006161	0.0005074	-0.0005683	-0.0005718	-0.0005603	-0.0005023	0.1263525	0.1566505	0.0562367	-0.0138464	-0.1347755	-0.1590429	-0.0370038	0.0018617
289.0000000	3069.0000000	0.0005555	0.0005680	0.0006689	0.0005448	-0.0006022	-0.0006160	-0.0005997	-0.0005401	0.1196708	0.1520175	0.0147992	-0.0417005	-0.1339376	-0.1508483	0.0008773	0.0362037
290.5000000	123.1800003	0.0006037	0.0006250	0.0007328	0.0005990	-0.0006619	-0.0006714	-0.0006567	-0.0005900	0.1175687	0.1476496	0.0347001	-0.0254612	-0.1288373	-0.1482116	-0.0172468	0.0181956
292.0000000	-2868.0000000	0.0006175	0.0006465	0.0007549	0.0006190	-0.0006832	-0.0006875	-0.0006757	-0.0006065	0.1162802	0.1440848	0.0556203	-0.0085603	-0.1243991	-0.1466863	-0.0365175	-0.0001205
293.8000000	3070.0000000	0.0006653	0.0006887	0.0008185	0.0006646	-0.0007243	-0.0007394	-0.0007228	-0.0006511	0.1105470	0.1409202	0.0109259	-0.0400103	-0.1240873	-0.1391837	0.0030191	0.0355243
295.3000000	123.0500031	0.0007222	0.0007565	0.0008931	0.0007289	-0.0007922	-0.0008027	-0.0007880	-0.0007101	0.1087598	0.1371237	0.0321766	-0.0225243	-0.1194979	-0.1372352	-0.0159791	0.0171686
296.8000000	-2869.0000000	0.0007414	0.0007848	0.0009000	0.0007551	-0.0008189	-0.0008239	-0.0008122	-0.0007311	0.1079810	0.1342733	0.0521377	-0.0049668	-0.1156158	-0.1363135	-0.0355890	-0.0011188
298.6000000	3069.0000000	0.0007974	0.0008385	0.0009000	0.0008138	-0.0008687	-0.0008851	-0.0008682	-0.0007836	0.1027964	0.1324695	0.0059709	-0.0381188	-0.1157850	-0.1296589	0.0040610	0.0344987
300.1000000	123.0299988	0.0008642	0.0009000	0.0009000	0.0008913	-0.0009000	-0.0009000	-0.0009000	-0.0008525	0.1016278	0.1255517	0.0225305	-0.0201452	-0.1054491	-0.1199158	-0.0145205	0.0163179
